x ; log(x) 
1e-11 ; -25.3284
1 ; 1e-11
2 ; 0.693147
3 ; 1.09861
4 ; 1.38629
5 ; 1.60944
6 ; 1.79176
7 ; 1.94591
8 ; 2.07944
9 ; 2.19722
10 ; 2.30259
11 ; 2.3979
12 ; 2.48491
13 ; 2.56495
14 ; 2.63906
15 ; 2.70805
16 ; 2.77259
17 ; 2.83321
18 ; 2.89037
19 ; 2.94444
20 ; 2.99573
21 ; 3.04452
22 ; 3.09104
23 ; 3.13549
24 ; 3.17805
25 ; 3.21888
26 ; 3.2581
27 ; 3.29584
28 ; 3.3322
29 ; 3.3673
30 ; 3.4012
31 ; 3.43399
32 ; 3.46574
33 ; 3.49651
34 ; 3.52636
35 ; 3.55535
36 ; 3.58352
37 ; 3.61092
38 ; 3.63759
39 ; 3.66356
40 ; 3.68888
41 ; 3.71357
42 ; 3.73767
43 ; 3.7612
44 ; 3.78419
45 ; 3.80666
46 ; 3.82864
47 ; 3.85015
48 ; 3.8712
49 ; 3.89182
50 ; 3.91202
51 ; 3.93183
52 ; 3.95124
53 ; 3.97029
54 ; 3.98898
55 ; 4.00733
56 ; 4.02535
57 ; 4.04305
58 ; 4.06044
59 ; 4.07754
60 ; 4.09434
61 ; 4.11087
62 ; 4.12713
63 ; 4.14313
64 ; 4.15888
65 ; 4.17439
66 ; 4.18965
67 ; 4.20469
68 ; 4.21951
69 ; 4.23411
70 ; 4.2485
71 ; 4.26268
72 ; 4.27667
73 ; 4.29046
74 ; 4.30407
75 ; 4.31749
76 ; 4.33073
77 ; 4.34381
78 ; 4.35671
79 ; 4.36945
80 ; 4.38203
81 ; 4.39445
82 ; 4.40672
83 ; 4.41884
84 ; 4.43082
85 ; 4.44265
86 ; 4.45435
87 ; 4.46591
88 ; 4.47734
89 ; 4.48864
90 ; 4.49981
91 ; 4.51086
92 ; 4.52179
93 ; 4.5326
94 ; 4.54329
95 ; 4.55388
96 ; 4.56435
97 ; 4.57471
98 ; 4.58497
99 ; 4.59512
100 ; 4.60517
101 ; 4.61512
102 ; 4.62497
103 ; 4.63473
104 ; 4.64439
105 ; 4.65396
106 ; 4.66344
107 ; 4.67283
108 ; 4.68213
109 ; 4.69135
110 ; 4.70048
111 ; 4.70953
112 ; 4.7185
113 ; 4.72739
114 ; 4.7362
115 ; 4.74493
116 ; 4.75359
117 ; 4.76217
118 ; 4.77068
119 ; 4.77912
120 ; 4.78749
121 ; 4.79579
122 ; 4.80402
123 ; 4.81218
124 ; 4.82028
125 ; 4.82831
126 ; 4.83628
127 ; 4.84419
128 ; 4.85203
129 ; 4.85981
130 ; 4.86753
131 ; 4.8752
132 ; 4.8828
133 ; 4.89035
134 ; 4.89784
135 ; 4.90527
136 ; 4.91265
137 ; 4.91998
138 ; 4.92725
139 ; 4.93447
140 ; 4.94164
141 ; 4.94876
142 ; 4.95583
143 ; 4.96284
144 ; 4.96981
145 ; 4.97673
146 ; 4.98361
147 ; 4.99043
148 ; 4.99721
149 ; 5.00395
150 ; 5.01064
151 ; 5.01728
152 ; 5.02388
153 ; 5.03044
154 ; 5.03695
155 ; 5.04343
156 ; 5.04986
157 ; 5.05625
158 ; 5.0626
159 ; 5.0689
160 ; 5.07517
161 ; 5.0814
162 ; 5.0876
163 ; 5.09375
164 ; 5.09987
165 ; 5.10595
166 ; 5.11199
167 ; 5.11799
168 ; 5.12396
169 ; 5.1299
170 ; 5.1358
171 ; 5.14166
172 ; 5.14749
173 ; 5.15329
174 ; 5.15906
175 ; 5.16479
176 ; 5.17048
177 ; 5.17615
178 ; 5.18178
179 ; 5.18739
180 ; 5.19296
181 ; 5.1985
182 ; 5.20401
183 ; 5.20949
184 ; 5.21494
185 ; 5.22036
186 ; 5.22575
187 ; 5.23111
188 ; 5.23644
189 ; 5.24175
190 ; 5.24702
191 ; 5.25227
192 ; 5.2575
193 ; 5.26269
194 ; 5.26786
195 ; 5.273
196 ; 5.27811
197 ; 5.2832
198 ; 5.28827
199 ; 5.2933
200 ; 5.29832
201 ; 5.3033
202 ; 5.30827
203 ; 5.31321
204 ; 5.31812
205 ; 5.32301
206 ; 5.32788
207 ; 5.33272
208 ; 5.33754
209 ; 5.34233
210 ; 5.34711
211 ; 5.35186
212 ; 5.35659
213 ; 5.36129
214 ; 5.36598
215 ; 5.37064
216 ; 5.37528
217 ; 5.3799
218 ; 5.3845
219 ; 5.38907
220 ; 5.39363
221 ; 5.39816
222 ; 5.40268
223 ; 5.40717
224 ; 5.41165
225 ; 5.4161
226 ; 5.42053
227 ; 5.42495
228 ; 5.42935
229 ; 5.43372
230 ; 5.43808
231 ; 5.44242
232 ; 5.44674
233 ; 5.45104
234 ; 5.45532
235 ; 5.45959
236 ; 5.46383
237 ; 5.46806
238 ; 5.47227
239 ; 5.47646
240 ; 5.48064
241 ; 5.4848
242 ; 5.48894
243 ; 5.49306
244 ; 5.49717
245 ; 5.50126
246 ; 5.50533
247 ; 5.50939
248 ; 5.51343
249 ; 5.51745
250 ; 5.52146
251 ; 5.52545
252 ; 5.52943
253 ; 5.53339
254 ; 5.53733
255 ; 5.54126
256 ; 5.54518
257 ; 5.54908
258 ; 5.55296
259 ; 5.55683
260 ; 5.56068
261 ; 5.56452
262 ; 5.56834
263 ; 5.57215
264 ; 5.57595
265 ; 5.57973
266 ; 5.5835
267 ; 5.58725
268 ; 5.59099
269 ; 5.59471
270 ; 5.59842
271 ; 5.60212
272 ; 5.6058
273 ; 5.60947
274 ; 5.61313
275 ; 5.61677
276 ; 5.6204
277 ; 5.62402
278 ; 5.62762
279 ; 5.63121
280 ; 5.63479
281 ; 5.63835
282 ; 5.64191
283 ; 5.64545
284 ; 5.64897
285 ; 5.65249
286 ; 5.65599
287 ; 5.65948
288 ; 5.66296
289 ; 5.66643
290 ; 5.66988
291 ; 5.67332
292 ; 5.67675
293 ; 5.68017
294 ; 5.68358
295 ; 5.68698
296 ; 5.69036
297 ; 5.69373
298 ; 5.69709
299 ; 5.70044
300 ; 5.70378
301 ; 5.70711
302 ; 5.71043
303 ; 5.71373
304 ; 5.71703
305 ; 5.72031
306 ; 5.72359
307 ; 5.72685
308 ; 5.7301
309 ; 5.73334
310 ; 5.73657
311 ; 5.73979
312 ; 5.743
313 ; 5.7462
314 ; 5.74939
315 ; 5.75257
316 ; 5.75574
317 ; 5.7589
318 ; 5.76205
319 ; 5.76519
320 ; 5.76832
321 ; 5.77144
322 ; 5.77455
323 ; 5.77765
324 ; 5.78074
325 ; 5.78383
326 ; 5.7869
327 ; 5.78996
328 ; 5.79301
329 ; 5.79606
330 ; 5.79909
331 ; 5.80212
332 ; 5.80513
333 ; 5.80814
334 ; 5.81114
335 ; 5.81413
336 ; 5.81711
337 ; 5.82008
338 ; 5.82305
339 ; 5.826
340 ; 5.82895
341 ; 5.83188
342 ; 5.83481
343 ; 5.83773
344 ; 5.84064
345 ; 5.84354
346 ; 5.84644
347 ; 5.84932
348 ; 5.8522
349 ; 5.85507
350 ; 5.85793
351 ; 5.86079
352 ; 5.86363
353 ; 5.86647
354 ; 5.8693
355 ; 5.87212
356 ; 5.87493
357 ; 5.87774
358 ; 5.88053
359 ; 5.88332
360 ; 5.8861
361 ; 5.88888
362 ; 5.89164
363 ; 5.8944
364 ; 5.89715
365 ; 5.8999
366 ; 5.90263
367 ; 5.90536
368 ; 5.90808
369 ; 5.9108
370 ; 5.9135
371 ; 5.9162
372 ; 5.91889
373 ; 5.92158
